region_1,region_2,carrier_1,timestep_2,timestep_3,parameter,value
mexico,bajaCalifornia,power,2015,q1n,dem,1.86
mexico,bajaCalifornia,power,2020,q1n,dem,2.1
mexico,bajaCalifornia,power,2025,q1n,dem,2.37
mexico,bajaCalifornia,power,2030,q1n,dem,2.67
mexico,bajaCalifornia,power,2035,q1n,dem,3.01
mexico,bajaCalifornia,power,2040,q1n,dem,3.39
mexico,bajaCalifornia,power,2045,q1n,dem,3.83
mexico,bajaCalifornia,power,2050,q1n,dem,4.31
mexico,bajaCalifornia,power,2015,q1m,dem,0.47
mexico,bajaCalifornia,power,2020,q1m,dem,0.53
mexico,bajaCalifornia,power,2025,q1m,dem,0.6
mexico,bajaCalifornia,power,2030,q1m,dem,0.68
mexico,bajaCalifornia,power,2035,q1m,dem,0.76
mexico,bajaCalifornia,power,2040,q1m,dem,0.86
mexico,bajaCalifornia,power,2045,q1m,dem,0.97
mexico,bajaCalifornia,power,2050,q1m,dem,1.09
mexico,bajaCalifornia,power,2015,q1p,dem,1.4
mexico,bajaCalifornia,power,2020,q1p,dem,1.58
mexico,bajaCalifornia,power,2025,q1p,dem,1.79
mexico,bajaCalifornia,power,2030,q1p,dem,2.01
mexico,bajaCalifornia,power,2035,q1p,dem,2.27
mexico,bajaCalifornia,power,2040,q1p,dem,2.56
mexico,bajaCalifornia,power,2045,q1p,dem,2.89
mexico,bajaCalifornia,power,2050,q1p,dem,3.26
mexico,bajaCalifornia,power,2015,q1a,dem,0.83
mexico,bajaCalifornia,power,2020,q1a,dem,0.93
mexico,bajaCalifornia,power,2025,q1a,dem,1.05
mexico,bajaCalifornia,power,2030,q1a,dem,1.19
mexico,bajaCalifornia,power,2035,q1a,dem,1.34
mexico,bajaCalifornia,power,2040,q1a,dem,1.51
mexico,bajaCalifornia,power,2045,q1a,dem,1.7
mexico,bajaCalifornia,power,2050,q1a,dem,1.92
mexico,bajaCalifornia,power,2015,q2n,dem,2.42
mexico,bajaCalifornia,power,2020,q2n,dem,2.73
mexico,bajaCalifornia,power,2025,q2n,dem,3.08
mexico,bajaCalifornia,power,2030,q2n,dem,3.47
mexico,bajaCalifornia,power,2035,q2n,dem,3.92
mexico,bajaCalifornia,power,2040,q2n,dem,4.42
mexico,bajaCalifornia,power,2045,q2n,dem,4.98
mexico,bajaCalifornia,power,2050,q2n,dem,5.61
mexico,bajaCalifornia,power,2015,q2m,dem,0.66
mexico,bajaCalifornia,power,2020,q2m,dem,0.74
mexico,bajaCalifornia,power,2025,q2m,dem,0.83
mexico,bajaCalifornia,power,2030,q2m,dem,0.94
mexico,bajaCalifornia,power,2035,q2m,dem,1.06
mexico,bajaCalifornia,power,2040,q2m,dem,1.19
mexico,bajaCalifornia,power,2045,q2m,dem,1.35
mexico,bajaCalifornia,power,2050,q2m,dem,1.52
mexico,bajaCalifornia,power,2015,q2p,dem,1.53
mexico,bajaCalifornia,power,2020,q2p,dem,1.73
mexico,bajaCalifornia,power,2025,q2p,dem,1.95
mexico,bajaCalifornia,power,2030,q2p,dem,2.2
mexico,bajaCalifornia,power,2035,q2p,dem,2.48
mexico,bajaCalifornia,power,2040,q2p,dem,2.79
mexico,bajaCalifornia,power,2045,q2p,dem,3.15
mexico,bajaCalifornia,power,2050,q2p,dem,3.55
mexico,bajaCalifornia,power,2015,q2a,dem,1.08
mexico,bajaCalifornia,power,2020,q2a,dem,1.22
mexico,bajaCalifornia,power,2025,q2a,dem,1.38
mexico,bajaCalifornia,power,2030,q2a,dem,1.55
mexico,bajaCalifornia,power,2035,q2a,dem,1.75
mexico,bajaCalifornia,power,2040,q2a,dem,1.98
mexico,bajaCalifornia,power,2045,q2a,dem,2.23
mexico,bajaCalifornia,power,2050,q2a,dem,2.51
mexico,bajaCalifornia,power,2015,q3n,dem,3.23
mexico,bajaCalifornia,power,2020,q3n,dem,3.64
mexico,bajaCalifornia,power,2025,q3n,dem,4.11
mexico,bajaCalifornia,power,2030,q3n,dem,4.63
mexico,bajaCalifornia,power,2035,q3n,dem,5.22
mexico,bajaCalifornia,power,2040,q3n,dem,5.89
mexico,bajaCalifornia,power,2045,q3n,dem,6.64
mexico,bajaCalifornia,power,2050,q3n,dem,7.48
mexico,bajaCalifornia,power,2015,q3m,dem,0.91
mexico,bajaCalifornia,power,2020,q3m,dem,1.03
mexico,bajaCalifornia,power,2025,q3m,dem,1.16
mexico,bajaCalifornia,power,2030,q3m,dem,1.31
mexico,bajaCalifornia,power,2035,q3m,dem,1.48
mexico,bajaCalifornia,power,2040,q3m,dem,1.67
mexico,bajaCalifornia,power,2045,q3m,dem,1.88
mexico,bajaCalifornia,power,2050,q3m,dem,2.12
mexico,bajaCalifornia,power,2015,q3p,dem,2.37
mexico,bajaCalifornia,power,2020,q3p,dem,2.68
mexico,bajaCalifornia,power,2025,q3p,dem,3.02
mexico,bajaCalifornia,power,2030,q3p,dem,3.4
mexico,bajaCalifornia,power,2035,q3p,dem,3.84
mexico,bajaCalifornia,power,2040,q3p,dem,4.33
mexico,bajaCalifornia,power,2045,q3p,dem,4.88
mexico,bajaCalifornia,power,2050,q3p,dem,5.5
mexico,bajaCalifornia,power,2015,q3a,dem,1.46
mexico,bajaCalifornia,power,2020,q3a,dem,1.65
mexico,bajaCalifornia,power,2025,q3a,dem,1.86
mexico,bajaCalifornia,power,2030,q3a,dem,2.09
mexico,bajaCalifornia,power,2035,q3a,dem,2.36
mexico,bajaCalifornia,power,2040,q3a,dem,2.66
mexico,bajaCalifornia,power,2045,q3a,dem,3
mexico,bajaCalifornia,power,2050,q3a,dem,3.38
mexico,bajaCalifornia,power,2015,q4n,dem,2.82
mexico,bajaCalifornia,power,2020,q4n,dem,3.17
mexico,bajaCalifornia,power,2025,q4n,dem,3.58
mexico,bajaCalifornia,power,2030,q4n,dem,4.04
mexico,bajaCalifornia,power,2035,q4n,dem,4.55
mexico,bajaCalifornia,power,2040,q4n,dem,5.13
mexico,bajaCalifornia,power,2045,q4n,dem,5.79
mexico,bajaCalifornia,power,2050,q4n,dem,6.52
mexico,bajaCalifornia,power,2015,q4m,dem,0.54
mexico,bajaCalifornia,power,2020,q4m,dem,0.61
mexico,bajaCalifornia,power,2025,q4m,dem,0.69
mexico,bajaCalifornia,power,2030,q4m,dem,0.78
mexico,bajaCalifornia,power,2035,q4m,dem,0.88
mexico,bajaCalifornia,power,2040,q4m,dem,0.99
mexico,bajaCalifornia,power,2045,q4m,dem,1.12
mexico,bajaCalifornia,power,2050,q4m,dem,1.26
mexico,bajaCalifornia,power,2015,q4p,dem,1.66
mexico,bajaCalifornia,power,2020,q4p,dem,1.87
mexico,bajaCalifornia,power,2025,q4p,dem,2.11
mexico,bajaCalifornia,power,2030,q4p,dem,2.38
mexico,bajaCalifornia,power,2035,q4p,dem,2.68
mexico,bajaCalifornia,power,2040,q4p,dem,3.02
mexico,bajaCalifornia,power,2045,q4p,dem,3.41
mexico,bajaCalifornia,power,2050,q4p,dem,3.85
mexico,bajaCalifornia,power,2015,q4a,dem,0.71
mexico,bajaCalifornia,power,2020,q4a,dem,0.8
mexico,bajaCalifornia,power,2025,q4a,dem,0.9
mexico,bajaCalifornia,power,2030,q4a,dem,1.02
mexico,bajaCalifornia,power,2035,q4a,dem,1.15
mexico,bajaCalifornia,power,2040,q4a,dem,1.29
mexico,bajaCalifornia,power,2045,q4a,dem,1.46
mexico,bajaCalifornia,power,2050,q4a,dem,1.64
mexico,bajaCaliforniaSur,power,2015,q1n,dem,0.34
